ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh,model_family,watchlist_reason,event_flags,years_of_data,latest_fiscal_year,anchor_source,latest_filing_date,revenue,revenue_cagr,revenue_volatility,gross_margin,current_operating_margin,reported_operating_income,one_off_items_latest,normalized_operating_margin,normalized_operating_income,normalized_nopat,normalized_fcf,normalized_fcf_per_share,margin_volatility,tax_rate,roic,incremental_roic,net_debt,total_debt,interest_expense_known,interest_coverage,net_debt_to_ebitda,sbc_intensity,dividends_paid,buybacks,net_share_change_cagr,ocf_to_net_income,shares_diluted,analyst_growth,analyst_dispersion,has_estimates,risk_free,wacc,cost_of_debt_after_tax,roic_minus_wacc,filing_age_days,data_confidence,financial_persistence_score,roic_above_wacc_years,cyclicality,model_confidence,risk_flags
BRK-B,Berkshire Hathaway Inc.,NYSE,common_stock,False,1996-05-09,Financial Services,Insurance - Diversified,US,2156853740.0,0.617,1055240683488.5,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,489.25,2026-06-12,1055240692295.0,2302906572.1629033,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPM,JPMorgan Chase & Co.,NYSE,common_stock,False,1980-03-17,Financial Services,Banks - Diversified,US,2679511418.0001245,1.0,859372901980.9601,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,320.72,2026-06-12,859372901981.0,2763407891.3587093,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V,Visa Inc.,NYSE,common_stock,False,2008-03-19,Financial Services,Financial - Credit Services,US,1916826361.0006514,0.765,617965650522.7899,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,322.39,2026-06-12,617965650523.0,2493188818.3970966,True,consumer_finance,consumer_finance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Mastercard Incorporated,NYSE,common_stock,False,2006-05-25,Financial Services,Financial - Credit Services,US,883583856.0002449,0.738,429872381782.56,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,489.98,2026-06-12,432938417763.0,1841234745.4003227,True,consumer_finance,consumer_finance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC,Bank of America Corporation,NYSE,common_stock,False,1973-02-21,Financial Services,Banks - Diversified,US,7096590650.999642,1.196,397551008269.02,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,56.02,2026-06-12,397551008269.0,1956034729.3112903,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Morgan Stanley,NYSE,common_stock,False,1993-02-23,Financial Services,Financial - Capital Markets,US,1577284817.0014951,1.221,337602042230.68,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,214.04,2026-06-12,337602042231.0,1152460597.4219356,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS,"The Goldman Sachs Group, Inc.",NYSE,common_stock,False,1999-05-04,Financial Services,Financial - Capital Markets,US,295007421.00023526,1.291,305521485484.44,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,1062.75,2026-06-12,313519136668.0,1997097161.2187097,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFC,Wells Fargo & Company,NYSE,common_stock,False,1972-06-01,Financial Services,Banks - Diversified,US,3060190000.0,0.93,256229708700.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,83.73,2026-06-12,256229708700.0,1388430106.8700001,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Citigroup Inc.,NYSE,common_stock,False,1977-01-03,Financial Services,Banks - Diversified,US,1705576977.0006435,1.115,238490828693.91003,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,139.83,2026-06-12,238490828694.0,1546439703.2480645,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXP,American Express Company,NYSE,common_stock,False,1972-06-01,Financial Services,Financial - Credit Services,US,682326443.0002458,1.058,218562806221.76,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,325.44,2026-06-12,222056317610.0,956012511.7790323,True,consumer_finance,consumer_finance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLK,"BlackRock, Inc.",NYSE,common_stock,False,1999-10-01,Financial Services,Asset Management,US,155233989.0,1.434,160201476648.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,1032.0,2026-06-12,160201476648.0,719864037.2935483,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHW,The Charles Schwab Corporation,NYSE,common_stock,False,1987-09-22,Financial Services,Financial - Capital Markets,US,1739140000.0,0.773,155253027800.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,91.1,2026-06-12,158435654000.0,991781257.665484,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WELL,Welltower Inc.,NYSE,common_stock,False,1980-03-19,Real Estate,REIT - Healthcare Facilities,US,705914000.0,0.78,151227956220.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,214.23,2026-06-12,151227956220.0,716905524.5729032,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BX,Blackstone Inc.,NYSE,common_stock,False,2007-06-22,Financial Services,Asset Management,US,1201264407.9973938,1.585,147166902624.08002,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,122.79,2026-06-12,147503256658.0,878459973.5374193,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLD,"Prologis, Inc.",NYSE,common_stock,False,1997-11-21,Real Estate,REIT - Industrial,US,932338000.0,1.334,135906910260.00002,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,148.74,2026-06-12,138675954120.0,497196816.893871,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPGI,S&P Global Inc.,NYSE,common_stock,False,2016-04-28,Financial Services,Financial - Data & Stock Exchanges,US,296000000.0,1.076,123997360000.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,418.91,2026-06-12,123997360000.0,869724689.61,True,financial_other,financial_sector_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGR,The Progressive Corporation,NYSE,common_stock,False,1980-03-17,Financial Services,Insurance - Property & Casualty,US,584337000.0,0.27,118684688070.00002,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,203.11,2026-06-12,118684688070.00002,601104001.9141935,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COF,Capital One Financial Corporation,NYSE,common_stock,False,1994-11-16,Financial Services,Financial - Credit Services,US,622292783.0022194,1.037,111657994053.69,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,184.73,2026-06-12,114956145803.99998,877493926.1564516,True,consumer_finance,consumer_finance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNC,"The PNC Financial Services Group, Inc.",NYSE,common_stock,False,1975-11-17,Financial Services,Banks - Regional,US,401565000.0,0.918,95435937900.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,237.66,2026-06-12,95435937900.0,475330373.95903224,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USB,U.S. Bancorp,NYSE,common_stock,False,1973-05-03,Financial Services,Banks - Diversified,US,1552300000.0,0.999,88186163000.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,58.94,2026-06-12,91492562000.0,521813780.1780645,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMT,American Tower Corporation,NYSE,common_stock,False,1998-02-27,Real Estate,REIT - Specialty,US,465893068.9977562,0.891,87205864655.42,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,187.18,2026-06-12,87205864655.0,595208794.2406452,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KKR,KKR & Co. Inc.,NYSE,common_stock,False,2010-07-15,Financial Services,Asset Management,US,897872941.0016626,1.791,85567291277.3,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,96.24,2026-06-12,86411291842.0,513676668.82354844,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRSH,"Marsh & McLennan Companies, Inc.",NYSE,common_stock,False,1987-12-30,Financial Services,Insurance - Brokers,US,481795000.0,0.611,80532034250.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,168.68,2026-06-12,81269180600.0,537820256.067742,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICE,"Intercontinental Exchange, Inc.",NYSE,common_stock,False,2005-11-16,Financial Services,Financial - Data & Stock Exchanges,US,565512494.9975095,0.922,78594926555.09999,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,140.53,2026-06-12,79471470922.00002,571912824.1325806,True,financial_other,financial_sector_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCO,Moody's Corporation,NYSE,common_stock,False,1994-10-31,Financial Services,Financial - Data & Stock Exchanges,US,174700000.0,1.339,77185954000.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,447.85,2026-06-12,78239395000.0,483959528.9864516,True,financial_other,financial_sector_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APO,"Apollo Global Management, Inc.",NYSE,common_stock,False,2011-03-30,Financial Services,Asset Management,US,576517512.9967135,1.488,77184164640.44,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,133.88,2026-06-12,77184164640.0,497868228.01096773,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AON,Aon plc,NYSE,common_stock,False,1980-06-02,Financial Services,Insurance - Brokers,US,213576948.99943337,0.714,71614486769.19,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,335.31,2026-06-12,71614486769.0,466563895.16516125,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPG,"Simon Property Group, Inc.",NYSE,common_stock,False,1993-12-14,Real Estate,REIT - Retail,US,324282000.0,1.346,69675230520.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,219.04,2026-06-12,71030729280.0,332667351.4077419,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRV,"The Travelers Companies, Inc.",NYSE,common_stock,False,1975-11-17,Financial Services,Insurance - Property & Casualty,US,212644693.00072262,0.495,64507894068.48,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,304.46,2026-06-12,64741803231.0,457005501.66129035,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLR,"Digital Realty Trust, Inc.",NYSE,common_stock,False,2004-10-29,Real Estate,REIT - Specialty,US,351406000.0,1.046,64542740019.99999,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,184.2,2026-06-12,64728985199.99999,390809024.4029032,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFC,Truist Financial Corporation,NYSE,common_stock,False,1980-03-18,Financial Services,Banks - Regional,US,1245879274.9903214,0.884,63141161657.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,51.66,2026-06-12,64362123346.0,427596733.06741935,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFL,Aflac Incorporated,NYSE,common_stock,False,1980-03-17,Financial Services,Insurance - Life,US,508985000.0,0.61,59749749150.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,117.8,2026-06-12,59958433000.0,294668556.4387097,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,Realty Income Corporation,NYSE,common_stock,False,1994-10-18,Real Estate,REIT - Retail,US,932492530.0063776,0.734,58485931481.6,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,62.72,2026-06-12,58485931482.0,367785209.26,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSA,Public Storage,NYSE,common_stock,False,1980-11-18,Real Estate,REIT - Industrial,US,175545747.99963182,0.963,56950200474.664,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,325.94,2026-06-12,57217381102.99999,304527337.7725807,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MET,"MetLife, Inc.",NYSE,common_stock,False,2000-04-05,Financial Services,Insurance - Life,US,643437000.0,0.783,57162943080.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,88.84,2026-06-12,57162943080.0,284603699.2725807,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,The Allstate Corporation,NYSE,common_stock,False,1993-06-03,Financial Services,Insurance - Property & Casualty,US,257421000.0,0.192,57492406140.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,221.63,2026-06-12,57052216230.0,344597033.91935486,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJG,Arthur J. Gallagher & Co.,NYSE,common_stock,False,1984-06-20,Financial Services,Insurance - Brokers,US,256942000.0,0.533,56758487800.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,218.69,2026-06-12,56190645980.0,412190342.29193544,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,State Street Corporation,NYSE,common_stock,False,1980-03-17,Financial Services,Asset Management,US,276767033.0012528,1.451,45625045390.049995,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,167.63,2026-06-12,46394457742.0,314827528.1993548,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARES,Ares Management Corporation,NYSE,common_stock,False,2014-05-02,Financial Services,Asset Management,US,328414955.99703485,1.516,44680854764.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,134.9,2026-06-12,44303177564.0,381877029.52774197,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSCI,MSCI Inc.,NYSE,common_stock,False,2007-11-15,Financial Services,Financial - Data & Stock Exchanges,US,72800000.0,1.226,43563520000.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,599.12,2026-06-12,43615936000.0,362024431.28806454,True,financial_other,financial_sector_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMP,"Ameriprise Financial, Inc.",NYSE,common_stock,False,2005-09-15,Financial Services,Asset Management,US,89897100.0,1.166,41147700612.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,459.13,2026-06-12,41274455523.0,313696524.98806447,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VTR,"Ventas, Inc.",NYSE,common_stock,False,1997-05-05,Real Estate,REIT - Healthcare Facilities,US,486169723.0023641,0.734,41061894804.579994,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,84.6,2026-06-12,41129958566.0,359627191.0093549,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCI,Crown Castle Inc.,NYSE,common_stock,False,1998-08-18,Real Estate,REIT - Specialty,US,436451982.99696183,0.948,40171040515.32,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,92.16,2026-06-12,40223414753.0,325638813.37387097,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIG,"American International Group, Inc.",NYSE,common_stock,False,1973-01-02,Financial Services,Insurance - Diversified,US,530206221.0060734,0.541,39935132565.71999,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,75.74,2026-06-12,40157819179.0,316666864.54,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRM,Iron Mountain Incorporated,NYSE,common_stock,False,1996-02-01,Real Estate,REIT - Specialty,US,297524680.996542,1.218,37241164320.770004,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,127.24,2026-06-12,37857040410.0,177316324.78935486,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRU,"Prudential Financial, Inc.",NYSE,common_stock,False,2001-12-13,Financial Services,Insurance - Life,US,347325107.0046083,0.855,37684774109.5,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,108.5,2026-06-12,37684774110.0,222884004.9864516,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIG,"The Hartford Financial Services Group, Inc.",NYSE,common_stock,False,1995-12-15,Financial Services,Insurance - Property & Casualty,US,274130819.996914,0.475,35505423806.4,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,129.62,2026-06-12,35532836888.0,223556971.0919355,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTB,M&T Bank Corporation,NYSE,common_stock,False,1980-03-17,Financial Services,Banks - Regional,US,146445060.0008625,0.587,33957680512.8,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,231.88,2026-06-12,33957680512.999996,249543413.85741934,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICI,VICI Properties Inc.,NYSE,common_stock,False,2018-01-02,Real Estate,REIT - Specialty,US,1076780186.9915848,0.676,30774377744.46,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,28.52,2026-06-12,30709770932.999996,227843775.0419355,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJF,"Raymond James Financial, Inc.",NYSE,common_stock,False,1983-07-01,Financial Services,Financial - Capital Markets,US,194883034.00259066,0.951,29314305974.28,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,154.4,2026-06-12,30089940450.0,221579900.52451614,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFG,"Citizens Financial Group, Inc.",NYSE,common_stock,False,2014-09-24,Financial Services,Banks - Regional,US,422881999.99999994,1.021,27470414719.999996,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,67.65,2026-06-12,28607967300.0,291487378.54483867,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVB,"AvalonBay Communities, Inc.",NYSE,common_stock,False,1994-03-11,Real Estate,REIT - Residential,US,141872000.0,0.789,26155521920.000004,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,187.03,2026-06-12,26534320160.0,205460835.3554839,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WRB,W. R. Berkley Corporation,NYSE,common_stock,False,1973-10-23,Financial Services,Insurance - Property & Casualty,US,372277000.0,0.311,25143588580.000004,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,68.27,2026-06-12,25415350790.0,159458054.38,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQR,Equity Residential,NYSE,common_stock,False,1993-08-12,Real Estate,REIT - Residential,US,374672000.0,0.764,25230412480.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,67.34,2026-06-12,25230412480.0,197545866.06419355,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF,Regions Financial Corporation,NYSE,common_stock,False,1980-03-17,Financial Services,Banks - Regional,US,853380000.0,1.027,24654148200.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,29.27,2026-06-12,24978432600.0,327193978.6364516,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYF,Synchrony Financial,NYSE,common_stock,False,2014-07-31,Financial Services,Financial - Credit Services,US,336370241.9983642,1.321,23434914760.14,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,73.36,2026-06-12,24676120953.0,274103594.4190323,True,consumer_finance,consumer_finance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY,KeyCorp,NYSE,common_stock,False,1987-11-05,Financial Services,Banks - Regional,US,1084230000.0,1.041,23831375400.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,22.7,2026-06-12,24612021000.0,274369266.60580647,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,Loews Corporation,NYSE,common_stock,False,1980-03-17,Financial Services,Insurance - Property & Casualty,US,205768873.00221974,0.535,22093403894.010002,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,108.12,2026-06-12,22247730549.0,85316826.22903225,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
